user_id,age,gender,student,employed,cyc_freq,distance,time,speed
1,28,M,1,1,Daily,3.25,15,13
2,35,M,0,1,Daily,1.11,5,13.32
3,28,M,0,1,Daily,5.59,23,14.58
4,44,F,0,1,Less than once a month,3.24,24,8.1
5,42,M,0,1,Several times per week,7.81,26,18.02
6,36,M,0,1,Several times per week,3,20,9
7,45,M,0,1,Several times per week,13.03,51,15.33
8,54,M,0,1,Several times per week,6.21,39,9.55
9,39,M,0,1,Several times per week,13.95,50,16.74
10,44,M,0,0,Several times per month,7.4,44,10.09
11,29,M,0,1,Daily,4.36,20,13.08
12,32,M,0,1,Several times per week,5.02,27,11.16
13,40,M,0,1,Several times per week,5.01,23,13.07
14,29,M,0,1,Daily,2.62,15,10.48
15,26,M,1,1,Daily,10.94,34,19.31
16,39,M,0,1,Several times per week,12.28,40,18.42
17,33,M,0,1,Daily,10.02,45,13.36
18,32,F,1,1,Daily,9.34,40,14.01
19,43,M,0,1,Daily,7.02,28,15.04
20,29,M,0,0,Several times per week,3.22,12,16.1
21,51,F,0,1,Several times per week,3.4,21,9.71
22,36,M,0,1,Several times per week,5.19,21,14.83
23,29,M,0,1,Several times per week,4.34,17,15.32
24,30,F,0,1,Several times per week,4.89,19,15.44
25,30,M,0,1,Several times per week,2.17,10,13.02
26,35,M,0,1,Daily,6.04,31,11.69
27,27,F,0,1,Several times per week,0.87,6,8.7
28,37,M,0,1,Several times per week,6.85,26,15.81
29,27,F,0,1,Several times per week,3.09,22,8.43
30,25,M,0,1,Several times per week,8.1,32,15.19
31,25,M,1,1,Daily,1.25,6,12.5
32,39,M,0,1,Daily,3.76,21,10.74
33,51,M,0,1,Several times per month,11.28,50,13.54
34,61,M,0,1,Several times per week,12.21,35,20.93
35,26,M,0,0,Several times per week,1.39,5,16.68
36,29,F,0,1,Several times per month,4.72,20,14.16
37,33,F,0,1,Several times per week,2.32,7,19.89
38,29,F,0,1,Several times per month,9.35,35,16.03
39,41,M,0,1,Daily,6.33,25,15.19
40,23,M,0,1,Daily,6.44,15,25.76
41,40,M,0,1,Several times per week,3.34,11,18.22
42,31,M,0,1,Several times per month,8.46,38,13.36
43,38,M,0,1,Several times per week,3.45,18,11.5
44,46,M,0,1,Daily,6.16,22,16.8
45,47,M,0,1,Several times per week,6.58,23,17.17
46,32,F,0,1,Several times per month,9.39,36,15.65
47,36,F,0,1,Several times per month,9.09,18,30.3
